Name,Author,Rating,Date,Path
The Wild Robot Escapes,Peter Brown,★★★★★,2026-01-04,bōchord/Ideas/Books/The Wild Robot Escapes.md
Becoming an Artist,Scott Christian Sava,★★★★☆,2026-02-27,bōchord/Ideas/Books/Becoming an Artist.md
The Buried Giant,Kazu Ishiguro,★★★★,2026-02-25,bōchord/Ideas/Books/The Buried Giant.md
The Palace of Eros,Caro De Robertis,★★★★,2026-02-11,bōchord/Ideas/Books/The Palace of Eros.md
Terraglossia,Debra Dank,★★★☆,2026-03-11,bōchord/Ideas/Books/Terraglossia.md
The Children of Húrin,JRR Tolkien,★★★☆,2026-03-05,bōchord/Ideas/Books/The Children of Húrin.md
The Wild Robot Protects,Peter Brown,★★★☆,2026-02-15,bōchord/Ideas/Books/The Wild Robot Protects.md
Safecracker,Dave McOmie,★★☆,2026-01-13,bōchord/Ideas/Books/Safecracker.md
Beowulf,,,,bōchord/Ideas/Books/Beowulf.md
Colour Demystified,,,,bōchord/Ideas/Books/Colour Demystified.md
The Fall of Gondolin,JRR Tolkien,,,bōchord/Ideas/Books/The Fall of Gondolin.md
Hero of two Worlds,Mike Duncan,,,bōchord/Ideas/Books/Hero of two Worlds.md
How to Relax,Thích Nhất Hạnh,,,bōchord/Ideas/Books/How to Relax.md
Jurrasic Park Visual History,,,,bōchord/Ideas/Books/Jurrasic Park Visual History.md
Make it So,Patrick Stewart,,,bōchord/Ideas/Books/Make it So.md
Mind Mgmt Omnibus Part 1,Matt Kindt,,,bōchord/Ideas/Books/Mind Mgmt Omnibus Part 1.md
Moving Pictures,Terry Pratchett,,,bōchord/Ideas/Books/Moving Pictures.md
Pharaoh,,,,bōchord/Ideas/Books/Pharaoh.md
Revelation Space,Alastair Reynolds,,,bōchord/Ideas/Books/Revelation Space.md
The Story of Australia's History,Geoffrey Blainey,,,bōchord/Ideas/Books/The Story of Australia's History.md
The Fall of the House of Usher,Edgar Allen Poe,,,bōchord/Ideas/Books/The Fall of the House of Usher.md
The Legend of Alberta Jacka,Peter Fitzsimons,,,bōchord/Ideas/Books/The Legend of Alberta Jacka.md
The Secret Life of Hidden Places,,,,bōchord/Ideas/Books/The Secret Life of Hidden Places.md
The Two Towers,JRR Tolkien,,,bōchord/Ideas/Books/The Two Towers.md
A Waltz for Matilda,Jackie French,,,bōchord/Ideas/Books/A Waltz for Matilda.md